payment_id,order_id,payment_datetime,amount,status,method
P100049-1,100049,2024-01-03 15:21:00,44.49,authorized,Wire
P100050-1,100050,2024-01-01 15:43:00,65.06,failed,Cash
P100051-1,100051,2024-01-04 08:28:00,6.4,failed,Card
P100052-1,100052,2024-01-01 21:27:00,5.11,captured,PayPal
P100053-1,100053,2024-01-04 10:42:00,32.45,authorized,PayPal
P100054-1,100054,2024-01-03 16:09:00,31.9,refunded,Card
P100055-1,100055,2024-01-02 22:21:00,5.08,refunded,Card
P100056-1,100056,2024-01-03 09:23:00,96.62,captured,PayPal
P100057-1,100057,2024-09-16 05:00:00,51.76,failed,Card
P100058-1,100058,2024-01-03 09:44:00,30.72,failed,Wire
P100059-1,100059,2024-01-02 05:46:00,34.62,authorized,Cash
P100060-1,100060,2024-01-03 10:12:00,21.14,failed,Wire
P100061-1,100061,2024-01-01 15:15:00,79.96,refunded,Cash
P100062-1,100062,2024-01-02 02:13:00,30.25,failed,Card
P100063-1,100063,2024-01-02 05:39:00,157.97,refunded,Wire
P100064-1,100064,2024-01-03 08:54:00,19.86,refunded,PayPal
P100065-1,100065,2024-01-04 06:32:00,105.42,refunded,Wire
P100066-1,100066,2024-01-03 10:51:00,69.16,authorized,Card
P100067-1,100067,2024-01-03 08:08:00,23.84,failed,Card
P100068-1,100068,2024-01-03 02:57:00,113.09,authorized,Card
P100069-1,100069,2024-01-02 21:25:00,59.72,failed,Cash
P100070-1,100070,2024-01-03 08:57:00,75.02,failed,Card
P100071-1,100071,2024-01-03 08:24:00,47.26,refunded,Wire
P100072-1,100072,2024-01-03 03:26:00,60.08,refunded,Card
P100073-1,100073,2024-01-03 05:51:00,25.22,authorized,PayPal
P100074-1,100074,2024-01-02 20:05:00,40.72,refunded,PayPal
P100075-1,100075,2024-01-03 17:59:00,90.51,captured,Cash
P100075-2,100075,2024-01-04 09:59:00,15.79,failed,PayPal
P100076-1,100076,2024-01-03 23:01:00,36.59,refunded,Cash
P100077-1,100077,2024-01-05 10:01:00,81.87,refunded,Cash
P100078-1,100078,2024-01-04 04:25:00,32.29,authorized,Wire
P100079-1,100079,2024-01-03 23:32:00,20.12,captured,Wire
P100080-1,100080,2024-01-02 14:03:00,35.66,failed,Wire
P100081-1,100081,2024-01-03 18:30:00,42.58,failed,Cash
P100082-1,100082,2024-01-04 21:47:00,10.46,captured,PayPal
P100083-1,100083,2024-01-04 14:44:00,92.44,authorized,PayPal
P100084-1,100084,2024-01-03 04:35:00,27.18,authorized,Wire
P100085-1,100085,2024-01-03 00:00:00,8.19,failed,PayPal
P100086-1,100086,2024-01-04 08:47:00,33.3,refunded,Card
P100087-1,100087,2024-01-02 07:02:00,37.99,captured,Cash
P100088-1,100088,2024-01-04 15:25:00,120.84,refunded,Wire
P100088-2,100088,2024-01-03 17:25:00,146.51,refunded,PayPal
P100089-1,100089,2024-01-05 05:44:00,11.42,captured,Card
P100090-1,100090,2024-01-04 02:36:00,12.99,refunded,Cash
P100091-1,100091,2024-01-05 03:32:00,36.95,refunded,Card
P100092-1,100092,2024-01-03 08:30:00,61.21,captured,PayPal
P100093-1,100093,2024-01-02 15:19:00,56.94,authorized,Card
P100094-1,100094,2024-01-05 19:40:00,18.78,captured,Cash
P100095-1,100095,2024-01-02 05:30:00,93.86,failed,PayPal
P100096-1,100096,2024-01-05 07:18:00,157.42,failed,Card
P100097-1,100097,2024-01-03 23:11:00,126.6,failed,PayPal
P100098-1,100098,2024-01-04 00:53:00,15.91,refunded,Wire
P100099-1,100099,2024-01-03 21:07:00,50.05,failed,Card
P100100-1,100100,2024-01-05 03:39:00,56.8,authorized,Wire
P100101-1,100101,2024-01-04 08:20:00,106.31,authorized,PayPal
P100102-1,100102,2024-01-02 22:19:00,76.42,failed,PayPal
P100103-1,100103,2024-01-02 20:46:00,97.09,refunded,Card
P100104-1,100104,2024-01-03 17:42:00,65.13,captured,PayPal
P100105-1,100105,2024-01-04 18:25:00,103.17,authorized,Cash
P100106-1,100106,2024-01-04 11:00:00,75.82,refunded,PayPal
P100107-1,100107,2024-01-03 18:55:00,30.17,captured,Card
P100108-1,100108,2024-01-04 06:32:00,70.67,authorized,Card
P100109-1,100109,2024-01-04 14:19:00,69.11,failed,Wire
P100110-1,100110,2024-01-04 04:45:00,11.28,failed,Card
P100111-1,100111,2024-01-02 00:52:00,36.73,captured,Wire
P100112-1,100112,2024-01-03 11:08:00,38.48,refunded,Wire
P100113-1,100113,2024-01-03 11:21:00,4.46,captured,Card
P100114-1,100114,2024-01-03 00:05:00,53.17,refunded,Wire
P100115-1,100115,2024-01-05 18:39:00,55.75,refunded,Cash
P100116-1,100116,2024-01-02 03:48:00,9.6,refunded,PayPal
P100117-1,100117,2024-01-05 03:44:00,44.69,refunded,Wire
P100118-1,100118,2024-01-05 08:08:00,138.82,captured,Cash
P100119-1,100119,2024-01-02 09:40:00,83.16,captured,Wire
P100120-1,100120,2024-01-02 08:27:00,80.24,failed,Wire
P100121-1,100121,2024-01-03 03:56:00,45.78,authorized,Cash
P100122-1,100122,2024-01-04 09:07:00,32.87,captured,Card
P100123-1,100123,2024-01-04 21:16:00,60.49,refunded,Card
P100124-1,100124,2024-01-04 12:20:00,22.68,captured,Card
P100125-1,100125,2024-01-02 18:04:00,36.44,captured,Card
P100126-1,100126,2024-01-05 10:26:00,20.39,failed,Cash
P100127-1,100127,2024-01-04 08:28:00,127.86,failed,PayPal
P100128-1,100128,2024-01-04 18:17:00,137.49,refunded,PayPal
P100129-1,100129,2024-01-03 13:15:00,25.08,captured,Cash
P100130-1,100130,2024-01-05 05:35:00,109.82,failed,Card
P100131-1,100131,2024-01-04 18:49:00,56.09,refunded,Wire
P100132-1,100132,2024-01-04 09:55:00,111.38,refunded,Wire
P100133-1,100133,2024-01-02 21:25:00,16.86,captured,Card
P100134-1,100134,2024-01-05 20:28:00,35.97,authorized,Wire
P100135-1,100135,2024-01-05 20:43:00,47.21,refunded,Card
P100136-1,100136,2024-01-04 12:54:00,79.8,refunded,Card
P100137-1,100137,2024-01-06 00:05:00,35.56,captured,Card
P100138-1,100138,2024-01-05 16:01:00,8.74,refunded,Wire
P100139-1,100139,2024-01-03 18:58:00,66.35,failed,PayPal
P100140-1,100140,2024-01-06 14:42:00,18.99,refunded,Cash
P100141-1,100141,2024-01-05 06:04:00,28.41,refunded,Card
P100142-1,100142,2024-01-05 20:30:00,44.57,captured,Card
P100143-1,100143,2024-01-03 13:49:00,52.01,authorized,Wire
P100144-1,100144,2024-01-03 02:05:00,10.22,authorized,Wire
P100145-1,100145,2024-01-06 12:42:00,96.78,authorized,PayPal
P100146-1,100146,2024-01-03 13:07:00,128.82,authorized,PayPal
P100147-1,100147,2024-01-06 08:17:00,31.49,refunded,Wire
P100148-1,100148,2024-01-04 12:18:00,56.64,authorized,PayPal
P100149-1,100149,2024-01-03 13:34:00,84.17,captured,PayPal
P100150-1,100150,2024-01-03 16:21:00,47.07,failed,PayPal
P100151-1,100151,2024-01-03 17:10:00,49.29,failed,Wire
P100152-1,100152,2024-01-05 05:21:00,34.13,refunded,PayPal
P100153-1,100153,2024-01-04 05:18:00,73.28,captured,PayPal
P100154-1,100154,2024-01-06 08:27:00,61.69,authorized,Card
P100155-1,100155,2024-01-04 10:59:00,77.59,authorized,Wire
P100156-1,100156,2024-01-03 21:54:00,77.66,refunded,Wire
P100157-1,100157,2024-01-05 06:35:00,153.66,failed,Cash
P100158-1,100158,2024-01-05 13:39:00,72.67,captured,PayPal
P100159-1,100159,2024-01-04 06:53:00,84.62,authorized,PayPal
P100160-1,100160,2024-01-05 06:17:00,68.58,refunded,Wire
P100161-1,100161,2024-01-06 13:23:00,21.76,refunded,PayPal
P100162-1,100162,2024-01-05 08:03:00,160.06,captured,Cash
P100163-1,100163,2024-01-06 12:44:00,58.31,authorized,PayPal
P100164-1,100164,2024-01-05 12:25:00,83.24,failed,Wire
P100165-1,100165,2024-01-05 12:02:00,56.29,refunded,Wire
P100166-1,100166,2024-01-04 09:07:00,161.66,refunded,Cash
P100167-1,100167,2024-01-04 23:38:00,87.1,refunded,Card
P100168-1,100168,2024-01-06 03:33:00,128.18,captured,Card
P100169-1,100169,2024-01-05 17:33:00,28.79,refunded,Cash
P100170-1,100170,2024-01-04 20:08:00,132.45,captured,PayPal
P100171-1,100171,2024-01-06 15:16:00,79.04,captured,Cash
P100172-1,100172,2024-01-04 14:40:00,10.79,failed,Wire
P100173-1,100173,2024-01-04 20:48:00,18.48,failed,PayPal
P100174-1,100174,2024-01-03 21:50:00,100.29,authorized,Wire
P100175-1,100175,2024-01-04 02:15:00,40.82,captured,Cash
P100176-1,100176,2024-01-03 15:41:00,22.8,refunded,Cash
P100177-1,100177,2024-01-04 12:07:00,53.72,refunded,PayPal
P100177-2,100177,2024-01-03 20:07:00,29.1,authorized,Cash
P100178-1,100178,2024-01-05 18:51:00,28.75,captured,Cash
P100179-1,100179,2024-01-05 05:06:00,50.88,captured,Wire
P100180-1,100180,2024-01-05 12:52:00,16.16,captured,Card
P100181-1,100181,2024-01-05 19:30:00,101.63,authorized,Card
P100182-1,100182,2024-01-06 17:52:00,71.51,refunded,Wire
P100183-1,100183,2024-01-04 05:52:00,114.41,authorized,Card
P100184-1,100184,2024-01-05 05:56:00,55.17,authorized,PayPal
P100185-1,100185,2024-01-05 07:01:00,14.09,failed,Cash
P100186-1,100186,2024-01-03 21:14:00,72.68,refunded,Cash
P100187-1,100187,2024-01-06 03:55:00,152.12,failed,Wire
P100188-1,100188,2024-01-05 00:56:00,20.54,captured,Card
P100189-1,100189,2024-01-03 14:47:00,22.82,captured,Wire
P100190-1,100190,2024-01-04 23:05:00,83.35,refunded,Cash
P100191-1,100191,2024-01-04 18:30:00,30.72,authorized,Wire
P100192-1,100192,2024-01-03 09:34:00,130.24,captured,PayPal
P100193-1,100193,2024-01-03 19:48:00,20.78,refunded,Wire
P100194-1,100194,2024-01-05 23:27:00,32.8,authorized,Card
P100195-1,100195,2024-01-03 11:38:00,9.35,refunded,Wire
P100196-1,100196,2024-01-05 01:25:00,50.88,failed,Wire
P100197-1,100197,2024-01-06 00:10:00,51.87,authorized,Cash
P100198-1,100198,2024-01-05 05:01:00,45.75,authorized,Card
P100199-1,100199,2024-01-04 20:42:00,100.33,failed,Wire
P100200-1,100200,2024-01-04 17:25:00,131.81,authorized,Card
P100201-1,100201,2024-01-05 16:31:00,100.42,refunded,PayPal
P100202-1,100202,2024-01-07 08:56:00,27.73,captured,Wire
P100203-1,100203,2024-01-04 19:06:00,134.99,captured,Cash
P100204-1,100204,2024-01-06 15:24:00,263.11,refunded,PayPal
P100205-1,100205,2024-01-05 22:25:00,29.18,refunded,Cash
P100206-1,100206,2024-01-06 12:05:00,152.11,authorized,Cash
P100207-1,100207,2024-01-06 00:04:00,44.34,failed,Card
P100208-1,100208,2024-01-04 07:30:00,45.04,failed,Cash
P100209-1,100209,2024-01-05 03:41:00,42.5,authorized,Card
P100209-2,100209,2024-01-04 06:41:00,42.55,captured,Cash
P100210-1,100210,2024-01-06 09:35:00,122.67,failed,Wire
P100211-1,100211,2024-01-07 02:47:00,174.7,failed,Cash
P100212-1,100212,2024-01-06 03:02:00,48.27,refunded,Card
P100213-1,100213,2024-01-05 08:59:00,37.66,failed,Cash
P100214-1,100214,2024-01-07 07:01:00,63.19,failed,Wire
P100215-1,100215,2024-01-04 12:48:00,59.04,captured,PayPal
P100216-1,100216,2024-01-06 07:42:00,104.56,captured,Card
P100217-1,100217,2024-01-05 11:18:00,70.08,captured,Cash
P100218-1,100218,2024-01-04 21:37:00,22.89,refunded,Card
P100219-1,100219,2024-01-05 06:22:00,52.85,failed,Wire
P100220-1,100220,2024-01-05 06:47:00,57.87,authorized,Card
P100221-1,100221,2024-01-04 18:39:00,54.86,captured,PayPal
P100222-1,100222,2024-01-06 16:32:00,45.07,refunded,PayPal
P100223-1,100223,2024-01-05 10:27:00,30.81,failed,Cash
P100224-1,100224,2024-01-05 08:50:00,5.16,failed,Cash
P100225-1,100225,2024-01-07 11:54:00,44.41,failed,PayPal
P100226-1,100226,2024-01-05 14:01:00,49.9,failed,Wire
P100226-2,100226,2024-01-05 06:01:00,47.46,refunded,PayPal
P100227-1,100227,2024-01-05 19:02:00,20.49,authorized,Card
P100228-1,100228,2024-01-05 01:56:00,79.89,captured,PayPal
P100229-1,100229,2024-01-05 00:10:00,7.18,refunded,Cash
P100230-1,100230,2024-01-04 08:17:00,46.86,captured,Wire
P100230-2,100230,2024-01-05 06:17:00,55.59,authorized,Wire
P100231-1,100231,2024-01-04 15:34:00,53.68,refunded,Card
P100232-1,100232,2024-01-07 08:54:00,123.38,authorized,Card
P100233-1,100233,2024-01-06 14:49:00,57.78,captured,Wire
P100234-1,100234,2024-01-04 21:41:00,17.04,refunded,Wire
P100235-1,100235,2024-01-04 08:55:00,49.13,authorized,PayPal
P100236-1,100236,2024-01-06 11:38:00,24.41,captured,Card
P100237-1,100237,2024-01-05 23:53:00,105.17,failed,Wire
P100238-1,100238,2024-01-06 13:01:00,33.97,authorized,PayPal
P100239-1,100239,2024-01-04 10:53:00,59.29,authorized,Cash
P100240-1,100240,2024-01-04 10:01:00,126.32,failed,Wire
P100241-1,100241,2024-01-04 21:57:00,107.85,authorized,Wire
P100242-1,100242,2024-01-07 05:15:00,115.17,refunded,PayPal
P100243-1,100243,2024-01-06 00:55:00,72.46,failed,Wire
P100244-1,100244,2024-01-06 13:01:00,127.97,captured,Card
P100245-1,100245,2024-01-05 14:02:00,96.1,authorized,Cash
P100246-1,100246,2024-01-04 22:50:00,38.87,refunded,PayPal
P100247-1,100247,2024-01-06 06:26:00,14.43,failed,Wire
P100248-1,100248,2024-01-06 18:31:00,25.81,failed,Wire
P100249-1,100249,2024-01-07 12:55:00,15.61,captured,Cash
P100250-1,100250,2024-01-06 03:30:00,78.26,failed,Card
P100251-1,100251,2024-01-08 15:07:00,88.28,captured,Cash
P100252-1,100252,2024-01-06 20:39:00,40.07,refunded,Cash
P100253-1,100253,2024-01-08 22:33:00,52.71,refunded,Wire
P100254-1,100254,2024-01-06 14:32:00,64.55,refunded,PayPal
P100255-1,100255,2024-01-05 17:11:00,42.4,failed,Cash
P100256-1,100256,2024-01-07 16:44:00,61.81,captured,Wire
P100257-1,100257,2024-01-07 03:36:00,24.14,captured,PayPal
P100258-1,100258,2024-01-07 06:25:00,8.71,captured,Cash
P100259-1,100259,2024-01-06 14:44:00,11.85,captured,Card
P100260-1,100260,2024-01-06 18:41:00,181.33,authorized,Card
P100261-1,100261,2024-01-07 06:39:00,163.53,captured,Cash
P100262-1,100262,2024-01-06 01:40:00,58.22,captured,Wire
P100263-1,100263,2024-01-07 18:31:00,83.93,refunded,Cash
P100264-1,100264,2024-01-06 04:19:00,29.44,failed,Cash
P100265-1,100265,2024-01-06 16:59:00,39.64,failed,Cash
P100266-1,100266,2024-01-08 07:35:00,42.61,captured,Card
P100267-1,100267,2024-01-06 02:56:00,203.15,authorized,Wire
P100268-1,100268,2024-01-05 13:54:00,57.18,authorized,Card
P100269-1,100269,2024-01-07 03:49:00,34.35,refunded,Wire
P100270-1,100270,2024-01-05 14:36:00,35.63,captured,Cash
P100271-1,100271,2024-01-07 23:29:00,8.91,failed,Cash
P100272-1,100272,2024-01-07 22:03:00,94.19,captured,Card
P100272-2,100272,2024-01-07 07:03:00,5.38,failed,Card
P100273-1,100273,2024-01-07 11:15:00,106.08,refunded,PayPal
P100274-1,100274,2024-01-07 02:09:00,13.44,captured,Cash
P100275-1,100275,2024-01-08 07:52:00,110.48,captured,Card
P100276-1,100276,2024-01-07 22:46:00,41.36,failed,Wire
P100277-1,100277,2024-01-06 17:57:00,47.35,captured,Cash
P100278-1,100278,2024-01-05 08:11:00,46.72,captured,PayPal
P100279-1,100279,2024-01-06 08:56:00,37.42,captured,Wire
P100280-1,100280,2024-01-06 13:16:00,118.63,refunded,PayPal
P100281-1,100281,2024-01-05 20:07:00,105.62,authorized,Cash
P100282-1,100282,2024-01-06 19:13:00,101.03,captured,Cash
P100283-1,100283,2024-01-07 01:15:00,9.39,refunded,PayPal
P100284-1,100284,2024-01-08 09:57:00,10.39,failed,Wire
P100285-1,100285,2024-01-08 06:21:00,58.01,refunded,Card
P100286-1,100286,2024-01-08 01:29:00,91.66,authorized,PayPal
P100287-1,100287,2024-01-07 10:46:00,150.29,refunded,Card
P100288-1,100288,2024-01-06 20:53:00,40.01,authorized,Wire
P100289-1,100289,2024-01-05 21:19:00,49.95,failed,Card
P100290-1,100290,2024-01-08 10:30:00,26.49,captured,PayPal
P100291-1,100291,2024-01-05 12:51:00,67.5,captured,Cash
P100292-1,100292,2024-01-05 22:50:00,93.16,failed,PayPal
P100293-1,100293,2024-01-07 10:38:00,83.14,authorized,Wire
P100294-1,100294,2024-01-07 21:16:00,133.82,refunded,Card
P100295-1,100295,2024-01-08 05:37:00,90.31,captured,Cash
P100296-1,100296,2024-01-07 11:28:00,70.65,captured,Card
P100297-1,100297,2024-01-06 11:33:00,24.21,captured,Wire
P100298-1,100298,2024-01-05 23:04:00,34.42,refunded,Cash
P100299-1,100299,2024-01-07 08:49:00,110.59,refunded,Cash
P100300-1,100300,2024-01-06 16:34:00,14.18,refunded,PayPal
P100301-1,100301,2024-01-08 13:35:00,59.99,captured,Card
P100301-2,100301,2024-01-06 21:35:00,46.7,refunded,Card
P100302-1,100302,2024-01-07 01:36:00,46.1,refunded,Wire
P100303-1,100303,2024-01-07 15:08:00,29.8,authorized,Cash
P100303-2,100303,2024-01-07 12:08:00,18.41,authorized,Wire
P100305-1,100305,2024-01-07 19:10:00,77.71,refunded,Card
P100306-1,100306,2024-01-06 20:47:00,24.0,authorized,Card
P100306-2,100306,2024-01-06 23:47:00,42.81,captured,Card
P100307-1,100307,2024-01-06 20:16:00,66.39,refunded,Wire
P100308-1,100308,2024-01-08 08:00:00,67.82,refunded,PayPal
P100309-1,100309,2024-01-07 11:08:00,60.55,failed,Card
P100311-1,100311,2024-01-09 06:11:00,74.86,refunded,Card
P100312-1,100312,2024-01-08 20:24:00,27.55,refunded,Card
P100313-1,100313,2024-01-08 01:48:00,18.11,authorized,PayPal
P100314-1,100314,2024-01-08 23:25:00,52.86,failed,Cash
P100315-1,100315,2024-01-08 16:20:00,23.95,authorized,Cash
P100316-1,100316,2024-01-06 16:00:00,32.2,refunded,PayPal
P100317-1,100317,2024-01-08 10:46:00,77.98,captured,PayPal
P100318-1,100318,2024-01-07 08:12:00,123.69,refunded,Cash
P100319-1,100319,2024-01-08 09:21:00,80.91,refunded,Cash
P100320-1,100320,2024-01-08 16:20:00,82.14,authorized,Cash
P100321-1,100321,2024-01-08 02:47:00,11.23,captured,PayPal
P100322-1,100322,2024-01-07 01:21:00,128.35,authorized,Wire
P100323-1,100323,2024-01-07 15:28:00,40.84,failed,PayPal
P100324-1,100324,2024-01-09 11:21:00,73.31,failed,Cash
P100325-1,100325,2024-01-08 19:29:00,101.93,authorized,PayPal
P100326-1,100326,2024-01-09 02:19:00,27.98,authorized,PayPal
P100327-1,100327,2024-01-06 18:47:00,79.39,failed,Card
P100328-1,100328,2024-01-08 15:31:00,39.74,refunded,Card
P100329-1,100329,2024-01-07 05:05:00,198.58,refunded,Cash
P100330-1,100330,2024-01-08 17:01:00,22.38,refunded,Wire
P100331-1,100331,2024-01-09 04:21:00,8.9,authorized,Card
P100332-1,100332,2024-01-08 05:07:00,68.64,authorized,PayPal
P100333-1,100333,2024-01-07 21:51:00,18.06,failed,Cash
P100334-1,100334,2024-01-08 07:53:00,56.44,failed,Wire
P100335-1,100335,2024-01-06 14:21:00,29.59,refunded,Cash
P100336-1,100336,2024-01-08 14:01:00,31.67,authorized,Card
P100337-1,100337,2024-01-06 22:07:00,52.66,failed,Card
P100338-1,100338,2024-01-09 10:52:00,17.0,failed,Wire
P100339-1,100339,2024-01-08 21:47:00,29.56,authorized,Cash
P100340-1,100340,2024-01-07 02:12:00,24.27,authorized,Card
P100341-1,100341,2024-01-06 22:49:00,31.1,refunded,Wire
P100342-1,100342,2024-01-08 11:34:00,20.1,captured,PayPal
P100343-1,100343,2024-01-07 01:53:00,34.83,captured,Cash
P100344-1,100344,2024-01-06 13:57:00,71.43,refunded,Cash
P100345-1,100345,2024-01-07 21:58:00,23.28,failed,PayPal
P100346-1,100346,2024-01-08 22:18:00,54.23,refunded,Card
P100347-1,100347,2024-01-07 18:49:00,70.5,authorized,Wire
P100348-1,100348,2024-01-07 15:42:00,25.43,refunded,PayPal
P100349-1,100349,2024-01-08 23:32:00,56.06,authorized,Cash
P100350-1,100350,2024-01-10 16:25:00,111.75,refunded,Card
P100351-1,100351,2024-01-08 14:56:00,59.29,captured,Card
P100352-1,100352,2024-01-09 09:31:00,68.47,authorized,PayPal
P100353-1,100353,2024-01-09 09:29:00,84.38,refunded,Cash
P100354-1,100354,2024-01-10 16:22:00,32.52,failed,Wire
P100355-1,100355,2024-01-10 00:36:00,67.16,failed,Card
P100356-1,100356,2024-01-10 13:13:00,79.59,authorized,PayPal
P100357-1,100357,2024-01-10 11:13:00,152.27,refunded,PayPal
P100358-1,100358,2024-01-09 09:07:00,61.74,captured,Cash
P100359-1,100359,2024-01-08 09:43:00,21.43,captured,Wire
P100360-1,100360,2024-01-08 02:27:00,81.03,failed,Wire
P100361-1,100361,2024-01-09 16:56:00,73.93,refunded,Card
P100362-1,100362,2024-01-09 06:33:00,46.33,failed,Card
P100363-1,100363,2024-01-10 14:10:00,35.27,refunded,Cash
P100364-1,100364,2024-01-10 05:38:00,157.03,refunded,Card
P100365-1,100365,2024-01-10 01:26:00,72.04,failed,Cash
P100366-1,100366,2024-01-08 14:01:00,85.49,captured,Wire
P100367-1,100367,2024-01-09 03:23:00,62.06,refunded,PayPal
P100368-1,100368,2024-01-10 10:58:00,14.13,failed,Cash
P100369-1,100369,2024-01-10 08:59:00,104.5,failed,Wire
P100370-1,100370,2024-01-08 22:06:00,34.35,captured,Cash
P100371-1,100371,2024-01-08 09:42:00,41.13,refunded,Wire
P100372-1,100372,2024-01-07 22:55:00,29.82,captured,Cash
P100373-1,100373,2024-01-08 01:57:00,40.74,captured,Card
P100374-1,100374,2024-01-09 23:16:00,90.89,refunded,PayPal
P100375-1,100375,2024-01-08 01:20:00,34.01,refunded,Wire
P100376-1,100376,2024-01-10 15:48:00,53.01,authorized,PayPal
P100377-1,100377,2024-01-09 10:11:00,30.82,refunded,Cash
P100378-1,100378,2024-01-09 01:03:00,44.09,authorized,Card
P100379-1,100379,2024-01-08 18:18:00,21.06,authorized,PayPal
P100380-1,100380,2024-01-08 19:03:00,98.56,failed,PayPal
P100381-1,100381,2024-01-10 18:55:00,150.61,authorized,PayPal
P100382-1,100382,2024-01-08 18:25:00,179.81,authorized,Cash
P100383-1,100383,2024-01-09 06:17:00,36.22,refunded,Wire
P100384-1,100384,2024-01-07 12:25:00,127.37,authorized,Cash
P100384-2,100384,2024-01-09 03:25:00,30.07,captured,Card
P100385-1,100385,2024-01-09 09:21:00,42.78,captured,PayPal
P100386-1,100386,2024-01-08 05:01:00,2.42,failed,PayPal
P100387-1,100387,2024-01-10 01:13:00,89.22,failed,Cash
P100388-1,100388,2024-01-08 00:39:00,28.04,refunded,Wire
P100389-1,100389,2024-01-07 20:43:00,51.61,captured,Cash
P100390-1,100390,2024-01-09 19:48:00,80.12,authorized,PayPal
P100391-1,100391,2024-01-09 13:12:00,40.48,authorized,PayPal
P100392-1,100392,2024-01-08 18:56:00,79.15,captured,PayPal
P100393-1,100393,2024-01-10 00:21:00,107.85,refunded,Cash
P100394-1,100394,2024-01-08 05:46:00,40.22,captured,PayPal
P100395-1,100395,2024-01-07 18:15:00,11.85,captured,PayPal
P100396-1,100396,2024-01-09 12:16:00,82.83,refunded,Cash
P100397-1,100397,2024-01-09 19:23:00,68.93,failed,Cash
P100398-1,100398,2024-01-10 01:42:00,92.68,failed,Cash
P100399-1,100399,2024-01-08 09:44:00,64.1,captured,Cash
P100400-1,100400,2024-01-07 11:47:00,33.02,authorized,Card
P100401-1,100401,2024-01-09 18:55:00,50.45,refunded,PayPal
P100402-1,100402,2024-01-08 16:34:00,93.01,refunded,PayPal
P100403-1,100403,2024-01-10 11:39:00,59.9,refunded,Card
P100404-1,100404,2024-01-09 14:16:00,120.46,authorized,PayPal
P100405-1,100405,2024-01-09 06:49:00,72.02,failed,Wire
P100406-1,100406,2024-01-09 07:48:00,170.52,refunded,Wire
P100407-1,100407,2024-01-10 11:49:00,64.37,failed,Cash
