order_id,ship_date,delivery_date,carrier,shipping_cost
100056,2024-01-05 10:23:00,2024-01-12 10:23:00,DHL,1.26
100057,2024-09-19 00:00:00,2024-09-21 00:00:00,USPS,5.56
100058,2024-01-06 14:44:00,2024-01-09 14:44:00,UPS,5.36
100059,2024-01-03 20:46:00,2024-01-10 20:46:00,USPS,13.89
100060,2024-01-02 13:12:00,2024-01-06 13:12:00,USPS,3.65
100061,2024-01-02 01:15:00,2024-01-12 01:15:00,FedEx,5.84
100063,2024-01-04 23:39:00,2024-01-09 23:39:00,DHL,15.1
100064,2024-01-05 16:54:00,2024-01-06 16:54:00,FedEx,12.97
100065,2024-01-02 23:32:00,2024-01-04 23:32:00,USPS,11.1
100067,2024-01-03 01:08:00,2024-01-10 01:08:00,DHL,3.54
100068,2024-01-03 07:57:00,2024-01-13 07:57:00,UPS,4.48
100069,2024-01-02 00:25:00,2024-01-03 00:25:00,USPS,29.11
100070,2024-01-06 19:57:00,2024-01-09 19:57:00,UPS,31.26
100071,2024-01-04 14:24:00,2024-01-10 14:24:00,DHL,4.69
100072,2024-01-02 01:26:00,2024-01-08 01:26:00,UPS,21.45
100073,2024-01-04 04:51:00,2024-01-07 04:51:00,FedEx,10.0
100074,2024-01-03 06:05:00,2024-01-09 06:05:00,FedEx,5.86
100076,2024-01-06 21:01:00,2024-01-08 21:01:00,DHL,15.4
100077,2024-01-06 22:01:00,2024-01-07 22:01:00,FedEx,14.2
100078,2024-01-02 15:25:00,2024-01-10 15:25:00,USPS,4.48
100080,2024-01-04 10:03:00,2024-01-09 10:03:00,USPS,5.55
100082,2024-01-06 19:47:00,2024-01-16 19:47:00,DHL,5.74
100083,2024-01-07 15:44:00,2024-01-08 15:44:00,USPS,13.47
100084,2024-01-06 11:35:00,2024-01-16 11:35:00,DHL,7.47
100085,2024-01-07 13:00:00,2024-01-17 13:00:00,FedEx,7.47
100086,2024-01-05 06:47:00,2024-01-13 06:47:00,DHL,3.96
100087,2024-01-05 07:02:00,2024-01-15 07:02:00,USPS,4.97
100091,2024-01-03 13:32:00,2024-01-11 13:32:00,USPS,2.02
100092,2024-01-02 05:30:00,2024-01-11 05:30:00,UPS,1.51
100093,2024-01-03 13:19:00,2024-01-05 13:19:00,UPS,13.06
100094,2024-01-03 22:40:00,2024-01-05 22:40:00,FedEx,4.11
100095,2024-01-06 00:30:00,2024-01-14 00:30:00,UPS,15.25
100096,2024-01-06 18:18:00,2024-01-14 18:18:00,FedEx,15.83
100097,2024-01-02 17:11:00,2024-01-05 17:11:00,USPS,6.73
100098,2024-01-02 06:53:00,2024-01-11 06:53:00,DHL,6.25
100099,2024-01-05 22:07:00,2024-01-07 22:07:00,UPS,8.69
100100,2024-01-03 21:39:00,2024-01-07 21:39:00,FedEx,15.88
100101,2024-01-05 10:20:00,2024-01-14 10:20:00,DHL,7.36
100102,2024-01-03 05:19:00,2024-01-04 05:19:00,USPS,8.66
100103,2024-01-06 16:46:00,2024-01-09 16:46:00,DHL,6.48
100104,2024-01-06 08:42:00,2024-01-16 08:42:00,FedEx,33.03
100105,2024-01-05 00:25:00,2024-01-10 00:25:00,DHL,5.84
100106,2024-01-02 20:00:00,2024-01-04 20:00:00,DHL,5.21
100107,2024-01-03 17:55:00,2024-01-06 17:55:00,FedEx,6.3
100108,2024-01-06 06:32:00,2024-01-10 06:32:00,UPS,8.34
100109,2024-01-04 00:19:00,2024-01-10 00:19:00,USPS,10.44
100110,2024-01-07 10:45:00,2024-01-14 10:45:00,FedEx,14.09
100111,2024-01-04 00:52:00,2024-01-05 00:52:00,USPS,5.52
100112,2024-01-07 23:08:00,2024-01-10 23:08:00,UPS,7.58
100113,2024-01-07 04:21:00,2024-01-08 04:21:00,USPS,14.77
100115,2024-01-03 19:39:00,2024-01-08 19:39:00,UPS,4.06
100116,2024-01-05 03:48:00,2024-01-11 03:48:00,FedEx,26.03
100117,2024-01-07 17:44:00,2024-01-08 17:44:00,USPS,5.83
100118,2024-01-04 17:08:00,2024-01-07 17:08:00,FedEx,2.97
100119,2024-01-05 07:40:00,2024-01-11 07:40:00,DHL,8.98
100120,2024-01-03 02:27:00,2024-01-13 02:27:00,DHL,8.34
100121,2024-01-03 09:56:00,2024-01-04 09:56:00,DHL,9.9
100122,2024-01-05 06:07:00,2024-01-10 06:07:00,FedEx,25.49
100123,2024-01-05 22:16:00,2024-01-14 22:16:00,DHL,5.28
100124,2024-01-06 09:20:00,2024-01-15 09:20:00,UPS,11.03
100125,2024-01-02 07:04:00,2024-01-11 07:04:00,FedEx,6.32
100126,2024-01-06 14:26:00,2024-01-12 14:26:00,FedEx,20.77
100127,2024-01-02 23:28:00,2024-01-07 23:28:00,FedEx,12.61
100128,2024-01-02 18:17:00,2024-01-11 18:17:00,DHL,10.88
100131,2024-01-06 05:49:00,2024-01-09 05:49:00,FedEx,17.88
100132,2024-01-05 12:55:00,2024-01-14 12:55:00,FedEx,17.87
100133,2024-01-04 10:25:00,2024-01-13 10:25:00,UPS,7.79
100134,2024-01-08 14:28:00,2024-01-17 14:28:00,UPS,6.03
100135,2024-01-08 20:43:00,2024-01-12 20:43:00,UPS,7.34
100137,2024-01-04 21:05:00,2024-01-06 21:05:00,FedEx,3.8
100138,2024-01-04 14:01:00,2024-01-13 14:01:00,UPS,22.72
100140,2024-01-03 22:42:00,2024-01-04 22:42:00,USPS,0.67
100141,2024-01-04 17:04:00,2024-01-14 17:04:00,FedEx,8.06
100142,2024-01-07 08:30:00,2024-01-17 08:30:00,FedEx,5.52
100143,2024-01-04 07:49:00,2024-01-08 07:49:00,DHL,5.11
100144,2024-01-06 02:05:00,2024-01-11 02:05:00,UPS,14.83
100145,2024-01-08 14:42:00,2024-01-14 14:42:00,USPS,2.35
100146,2024-01-06 08:07:00,2024-01-08 08:07:00,USPS,22.71
100148,2024-01-07 15:18:00,2024-01-08 15:18:00,FedEx,2.22
100149,2024-01-03 13:34:00,2024-01-12 13:34:00,USPS,25.84
100151,2024-01-06 07:10:00,2024-01-16 07:10:00,UPS,9.15
100152,2024-01-04 21:21:00,2024-01-10 21:21:00,DHL,22.09
100153,2024-01-03 05:18:00,2024-01-08 05:18:00,FedEx,9.87
100154,2024-01-06 13:27:00,2024-01-13 13:27:00,UPS,17.43
100156,2024-01-03 02:54:00,2024-01-04 02:54:00,UPS,21.58
100157,2024-01-08 18:35:00,2024-01-10 18:35:00,UPS,2.73
100158,2024-01-04 07:39:00,2024-01-09 07:39:00,USPS,7.95
100159,2024-01-06 11:53:00,2024-01-14 11:53:00,DHL,6.59
100160,2024-01-08 02:17:00,2024-01-12 02:17:00,DHL,1.87
100161,2024-01-04 18:23:00,2024-01-02 18:23:00,USPS,7.73
100162,2024-01-04 19:03:00,2024-01-05 19:03:00,UPS,9.87
100163,2024-01-05 23:44:00,2024-01-08 23:44:00,UPS,2.28
100164,2024-01-08 00:25:00,2024-01-09 00:25:00,FedEx,5.43
100166,2024-01-04 17:07:00,2024-01-11 17:07:00,UPS,5.76
100167,2024-01-07 23:38:00,2024-01-13 23:38:00,USPS,6.16
100168,2024-01-03 05:33:00,2024-01-13 05:33:00,DHL,10.88
100169,2024-01-04 01:33:00,2024-01-06 01:33:00,UPS,13.45
100170,2024-01-04 17:08:00,2024-01-13 17:08:00,USPS,3.34
100171,2024-01-03 15:16:00,2024-01-06 15:16:00,USPS,58.44
100172,2024-01-03 18:40:00,2024-01-06 18:40:00,DHL,8.72
100173,2024-01-07 08:48:00,2024-01-17 08:48:00,USPS,19.5
100174,2024-01-07 02:50:00,2024-01-14 02:50:00,FedEx,1.74
100175,2024-01-04 13:15:00,2024-01-11 13:15:00,USPS,9.67
100176,2024-01-04 11:41:00,2024-01-10 11:41:00,DHL,5.8
100177,2024-01-08 02:07:00,2024-01-16 02:07:00,FedEx,0.21
100178,2024-01-08 22:51:00,2024-01-11 22:51:00,DHL,2.98
100179,2024-01-06 12:06:00,2024-01-09 12:06:00,USPS,15.53
100180,2024-01-08 03:52:00,2024-01-12 03:52:00,FedEx,19.46
100181,2024-01-05 20:30:00,2024-01-14 20:30:00,UPS,9.57
100182,2024-01-04 23:52:00,2024-01-12 23:52:00,FedEx,2.95
100183,2024-01-03 18:52:00,2024-01-13 18:52:00,UPS,18.94
100184,2024-01-06 16:56:00,2024-01-15 16:56:00,FedEx,9.87
100185,2024-01-03 16:01:00,2024-01-10 16:01:00,UPS,19.03
100187,2024-01-03 05:55:00,2024-01-04 05:55:00,FedEx,9.68
100188,2024-01-04 00:56:00,2024-01-05 00:56:00,UPS,2.38
100190,2024-01-04 07:05:00,2024-01-09 07:05:00,FedEx,4.54
100192,2024-01-08 06:34:00,2024-01-11 06:34:00,DHL,5.76
100193,2024-01-04 06:48:00,2024-01-12 06:48:00,DHL,10.13
100195,2024-01-04 08:38:00,2024-01-10 08:38:00,FedEx,5.38
100197,2024-01-05 19:10:00,2024-01-09 19:10:00,DHL,9.3
100199,2024-01-07 09:42:00,2024-01-13 09:42:00,UPS,15.26
100200,2024-01-05 13:25:00,2024-01-12 13:25:00,UPS,1.08
100201,2024-01-04 06:31:00,2024-01-07 06:31:00,FedEx,2.09
100202,2024-01-09 19:56:00,2024-01-17 19:56:00,USPS,3.61
100203,2024-01-04 10:06:00,2024-01-08 10:06:00,DHL,17.3
100204,2024-01-05 06:24:00,2024-01-07 06:24:00,FedEx,14.89
100205,2024-01-07 23:25:00,2024-01-13 23:25:00,UPS,22.09
100206,2024-01-05 12:05:00,2024-01-12 12:05:00,USPS,12.32
100207,2024-01-08 18:04:00,2024-01-15 18:04:00,UPS,10.8
100208,2024-01-09 07:30:00,2024-01-13 07:30:00,UPS,12.31
100209,2024-01-07 05:41:00,2024-01-11 05:41:00,UPS,18.87
100211,2024-01-09 08:47:00,2024-01-18 08:47:00,UPS,2.48
100212,2024-01-07 05:02:00,2024-01-09 05:02:00,DHL,11.79
100213,2024-01-06 17:59:00,2024-01-11 17:59:00,UPS,43.1
100214,2024-01-04 17:01:00,2024-01-08 17:01:00,UPS,13.76
100217,2024-01-06 10:18:00,2024-01-11 10:18:00,DHL,11.52
100219,2024-01-07 14:22:00,2024-01-10 14:22:00,UPS,0.85
100220,2024-01-08 15:47:00,2024-01-11 15:47:00,DHL,20.05
100221,2024-01-04 04:39:00,2024-01-13 04:39:00,FedEx,12.24
100222,2024-01-08 03:32:00,2024-01-13 03:32:00,DHL,4.98
100223,2024-01-06 22:27:00,2024-01-13 22:27:00,UPS,5.9
100224,2024-01-05 15:50:00,2024-01-11 15:50:00,FedEx,10.9
100225,2024-01-09 11:54:00,2024-01-14 11:54:00,UPS,8.02
100226,2024-01-09 22:01:00,2024-01-11 22:01:00,DHL,8.59
100227,2024-01-06 11:02:00,2024-01-16 11:02:00,UPS,5.37
100228,2024-01-04 05:56:00,2024-01-06 05:56:00,FedEx,1.45
100229,2024-01-06 00:10:00,2024-01-16 00:10:00,FedEx,18.01
100231,2024-01-06 08:34:00,2024-01-07 08:34:00,DHL,11.83
100232,2024-01-04 08:54:00,2024-01-11 08:54:00,UPS,5.5
100233,2024-01-05 18:49:00,2024-01-06 18:49:00,UPS,15.25
100234,2024-01-06 06:41:00,2024-01-13 06:41:00,FedEx,2.45
100235,2024-01-04 07:55:00,2024-01-05 07:55:00,FedEx,8.97
100236,2024-01-04 09:38:00,2024-01-09 09:38:00,FedEx,4.15
100237,2024-01-08 16:53:00,2024-01-17 16:53:00,USPS,19.31
100238,2024-01-05 14:01:00,2024-01-13 14:01:00,DHL,9.23
100239,2024-01-07 03:53:00,2024-01-14 03:53:00,FedEx,16.72
100242,2024-01-04 18:15:00,2024-01-09 18:15:00,USPS,4.52
100243,2024-01-08 02:55:00,2024-01-09 02:55:00,USPS,13.18
100244,2024-01-08 09:01:00,2024-01-17 09:01:00,UPS,9.03
100245,2024-01-04 15:02:00,2024-01-13 15:02:00,UPS,3.88
100246,2024-01-08 08:50:00,2024-01-14 08:50:00,DHL,5.15
100247,2024-01-06 02:26:00,2024-01-16 02:26:00,USPS,16.08
100249,2024-01-04 12:55:00,2024-01-13 12:55:00,DHL,13.75
100250,2024-01-07 22:30:00,2024-01-14 22:30:00,USPS,1.34
100251,2024-01-10 19:07:00,2024-01-13 19:07:00,USPS,10.77
100252,2024-01-06 11:39:00,2024-01-07 11:39:00,UPS,7.11
100253,2024-01-07 23:33:00,2024-01-17 23:33:00,UPS,3.68
100254,2024-01-10 01:32:00,2024-01-20 01:32:00,UPS,14.3
100255,2024-01-09 05:11:00,2024-01-18 05:11:00,DHL,12.82
100256,2024-01-07 09:44:00,2024-01-10 09:44:00,USPS,9.4
100257,2024-01-09 16:36:00,2024-01-12 16:36:00,UPS,14.4
100258,2024-01-09 18:25:00,2024-01-12 18:25:00,USPS,7.86
100260,2024-01-10 02:41:00,2024-01-19 02:41:00,UPS,2.83
100261,2024-01-10 21:39:00,2024-01-18 21:39:00,FedEx,2.29
100262,2024-01-10 21:40:00,2024-01-20 21:40:00,USPS,18.42
100263,2024-01-06 16:31:00,2024-01-08 16:31:00,USPS,19.59
100264,2024-01-08 14:19:00,2024-01-16 14:19:00,FedEx,2.76
100265,2024-01-07 00:59:00,2024-01-08 00:59:00,FedEx,7.23
100267,2024-01-06 20:56:00,2024-01-15 20:56:00,FedEx,14.39
100268,2024-01-08 09:54:00,2024-01-09 09:54:00,USPS,17.48
100270,2024-01-09 02:36:00,2024-01-14 02:36:00,DHL,6.33
100271,2024-01-08 17:29:00,2024-01-13 17:29:00,FedEx,13.89
100272,2024-01-06 13:03:00,2024-01-10 13:03:00,DHL,8.37
100273,2024-01-10 20:15:00,2024-01-20 20:15:00,UPS,6.11
100274,2024-01-10 09:09:00,2024-01-12 09:09:00,DHL,12.47
100275,2024-01-08 23:52:00,2024-01-16 23:52:00,DHL,4.76
100276,2024-01-06 04:46:00,2024-01-09 04:46:00,FedEx,16.94
100277,2024-01-08 20:57:00,2024-01-11 20:57:00,UPS,3.67
100278,2024-01-05 00:11:00,2024-01-09 00:11:00,DHL,22.34
100279,2024-01-09 19:56:00,2024-01-11 19:56:00,DHL,12.59
100281,2024-01-08 03:07:00,2024-01-14 03:07:00,UPS,13.9
100282,2024-01-08 08:13:00,2024-01-13 08:13:00,DHL,3.26
100283,2024-01-06 22:15:00,2024-01-07 22:15:00,USPS,0.76
100284,2024-01-07 17:57:00,2024-01-15 17:57:00,USPS,12.59
100285,2024-01-09 09:21:00,2024-01-12 09:21:00,FedEx,23.72
100286,2024-01-10 04:29:00,2024-01-11 04:29:00,USPS,7.4
100287,2024-01-09 05:46:00,2024-01-12 05:46:00,UPS,18.24
100288,2024-01-08 05:53:00,2024-01-18 05:53:00,UPS,9.92
100289,2024-01-07 19:19:00,2024-01-15 19:19:00,FedEx,0.73
100290,2024-01-07 10:30:00,2024-01-11 10:30:00,USPS,47.16
100291,2024-01-09 08:51:00,2024-01-13 08:51:00,DHL,10.59
100292,2024-01-08 11:50:00,2024-01-13 11:50:00,UPS,5.29
100294,2024-01-09 00:16:00,2024-01-17 00:16:00,DHL,31.54
100295,2024-01-09 13:37:00,2024-01-16 13:37:00,FedEx,26.67
100297,2024-01-06 10:33:00,2024-01-10 10:33:00,DHL,2.1
100298,2024-01-08 03:04:00,2024-01-12 03:04:00,DHL,9.4
100299,2024-01-09 15:49:00,2024-01-11 15:49:00,UPS,15.23
100300,2024-01-06 07:34:00,2024-01-10 07:34:00,UPS,5.96
100301,2024-01-09 11:35:00,2024-01-10 11:35:00,FedEx,9.8
100302,2024-01-06 19:36:00,2024-01-16 19:36:00,DHL,12.7
100303,2024-01-10 17:08:00,2024-01-18 17:08:00,DHL,17.75
100304,2024-01-06 09:36:00,2024-01-15 09:36:00,USPS,10.55
100305,2024-01-07 12:10:00,2024-01-15 12:10:00,USPS,12.44
100306,2024-01-11 11:47:00,2024-01-16 11:47:00,UPS,5.19
100308,2024-01-11 21:00:00,2024-01-12 21:00:00,FedEx,6.63
100309,2024-01-07 23:08:00,2024-01-09 23:08:00,DHL,0.8
100310,2024-01-09 20:04:00,2024-01-12 20:04:00,DHL,8.23
100311,2024-01-10 07:11:00,2024-01-16 07:11:00,USPS,14.67
100312,2024-01-08 15:24:00,2024-01-17 15:24:00,FedEx,17.06
100313,2024-01-11 12:48:00,2024-01-18 12:48:00,USPS,5.84
100314,2024-01-09 07:25:00,2024-01-17 07:25:00,USPS,9.22
100316,2024-01-11 14:00:00,2024-01-19 14:00:00,USPS,8.62
100317,2024-01-11 00:46:00,2024-01-15 00:46:00,USPS,16.76
100318,2024-01-06 02:12:00,2024-01-16 02:12:00,FedEx,5.5
100320,2024-01-06 18:20:00,2024-01-08 18:20:00,USPS,25.75
100321,2024-01-08 19:47:00,2024-01-10 19:47:00,DHL,7.26
100322,2024-01-08 08:21:00,2024-01-18 08:21:00,USPS,6.65
100323,2024-01-07 10:28:00,2024-01-17 10:28:00,USPS,2.3
100324,2024-01-10 17:21:00,2024-01-18 17:21:00,DHL,8.93
100325,2024-01-06 00:29:00,2024-01-13 00:29:00,USPS,5.64
100326,2024-01-11 17:19:00,2024-01-14 17:19:00,FedEx,13.95
100328,2024-01-11 04:31:00,2024-01-13 04:31:00,UPS,21.37
100329,2024-01-07 15:05:00,2024-01-17 15:05:00,DHL,18.35
100330,2024-01-10 00:01:00,2024-01-14 00:01:00,USPS,3.03
100332,2024-01-07 15:07:00,2024-01-13 15:07:00,DHL,10.8
100333,2024-01-09 05:51:00,2024-01-10 05:51:00,DHL,9.84
100334,2024-01-11 01:53:00,2024-01-15 01:53:00,DHL,16.64
100335,2024-01-11 09:21:00,2024-01-19 09:21:00,DHL,17.08
100336,2024-01-11 02:01:00,2024-01-18 02:01:00,FedEx,5.71
100338,2024-01-11 23:52:00,2024-01-16 23:52:00,UPS,7.21
100340,2024-01-10 17:12:00,2024-01-12 17:12:00,DHL,11.51
100341,2024-01-09 20:49:00,2024-01-10 20:49:00,USPS,17.87
100342,2024-01-07 14:34:00,2024-01-11 14:34:00,UPS,16.21
100344,2024-01-09 07:57:00,2024-01-19 07:57:00,UPS,17.13
100346,2024-01-08 17:18:00,2024-01-10 17:18:00,USPS,13.86
100347,2024-01-07 07:49:00,2024-01-10 07:49:00,FedEx,10.37
100348,2024-01-11 17:42:00,2024-01-14 17:42:00,UPS,8.83
100349,2024-01-08 05:32:00,2024-01-15 05:32:00,DHL,29.49
100350,2024-01-10 20:25:00,2024-01-15 20:25:00,USPS,22.07
100351,2024-01-12 20:56:00,2024-01-19 20:56:00,UPS,5.74
100353,2024-01-11 00:29:00,2024-01-19 00:29:00,USPS,3.69
100354,2024-01-07 22:22:00,2024-01-16 22:22:00,FedEx,11.06
100356,2024-01-11 17:13:00,2024-01-14 17:13:00,UPS,6.24
100357,2024-01-09 23:13:00,2024-01-10 23:13:00,USPS,5.0
100358,2024-01-08 07:07:00,2024-01-12 07:07:00,UPS,6.03
100359,2024-01-07 07:43:00,2024-01-09 07:43:00,UPS,8.15
100360,2024-01-10 21:27:00,2024-01-17 21:27:00,DHL,8.18
100362,2024-01-10 09:33:00,2024-01-14 09:33:00,FedEx,18.8
100363,2024-01-07 20:10:00,2024-01-17 20:10:00,UPS,2.13
100365,2024-01-09 21:26:00,2024-01-15 21:26:00,USPS,8.04
100366,2024-01-09 12:01:00,2024-01-12 12:01:00,UPS,4.04
100367,2024-01-08 11:23:00,2024-01-13 11:23:00,DHL,4.71
100368,2024-01-07 11:58:00,2024-01-11 11:58:00,DHL,12.08
100370,2024-01-08 15:06:00,2024-01-11 15:06:00,FedEx,2.28
100371,2024-01-09 00:42:00,2024-01-16 00:42:00,FedEx,2.3
100372,2024-01-07 10:55:00,2024-01-17 10:55:00,USPS,3.06
100376,2024-01-08 20:48:00,2024-01-18 20:48:00,FedEx,10.64
100377,2024-01-09 06:11:00,2024-01-12 06:11:00,USPS,5.87
100378,2024-01-07 06:03:00,2024-01-17 06:03:00,UPS,15.53
100380,2024-01-08 06:03:00,2024-01-10 06:03:00,FedEx,5.02
100381,2024-01-08 20:55:00,2024-01-16 20:55:00,DHL,18.88
100382,2024-01-12 01:25:00,2024-01-16 01:25:00,FedEx,17.7
100383,2024-01-12 15:17:00,2024-01-13 15:17:00,UPS,15.66
100384,2024-01-12 06:25:00,2024-01-19 06:25:00,FedEx,5.38
100385,2024-01-11 17:21:00,2024-01-21 17:21:00,DHL,13.48
100386,2024-01-10 07:01:00,2024-01-11 07:01:00,FedEx,4.15
100387,2024-01-10 21:13:00,2024-01-15 21:13:00,FedEx,11.63
100388,2024-01-12 16:39:00,2024-01-17 16:39:00,DHL,4.42
100389,2024-01-11 09:43:00,2024-01-12 09:43:00,UPS,2.43
100390,2024-01-12 03:48:00,2024-01-18 03:48:00,UPS,22.83
100391,2024-01-09 05:12:00,2024-01-18 05:12:00,USPS,1.31
100393,2024-01-12 23:21:00,2024-01-16 23:21:00,USPS,11.47
100396,2024-01-09 04:16:00,2024-01-16 04:16:00,FedEx,18.5
100397,2024-01-09 08:23:00,2024-01-13 08:23:00,DHL,9.93
100399,2024-01-12 14:44:00,2024-01-15 14:44:00,DHL,17.21
100400,2024-01-07 10:47:00,2024-01-13 10:47:00,USPS,1.69
100401,2024-01-07 06:55:00,2024-01-16 06:55:00,FedEx,4.77
100403,2024-01-09 22:39:00,2024-01-17 22:39:00,FedEx,8.93
100404,2024-01-12 15:16:00,2024-01-19 15:16:00,UPS,3.67
100406,2024-01-12 00:48:00,2024-01-20 00:48:00,USPS,25.23
100407,2024-01-09 18:49:00,2024-01-12 18:49:00,USPS,3.7
100408,2024-01-08 18:51:00,2024-01-10 18:51:00,UPS,5.61
100409,2024-01-07 00:27:00,2024-01-10 00:27:00,UPS,7.51
100410,2024-01-08 06:20:00,2024-01-16 06:20:00,FedEx,15.47
100411,2024-01-12 16:00:00,2024-01-14 16:00:00,USPS,2.18
100412,2024-01-12 07:46:00,2024-01-20 07:46:00,UPS,7.48
100413,2024-01-09 10:52:00,2024-01-17 10:52:00,FedEx,15.82
100414,2024-01-08 07:47:00,2024-01-15 07:47:00,UPS,3.28
100415,2024-01-08 04:45:00,2024-01-15 04:45:00,USPS,1.1
100416,2024-01-13 11:30:00,2024-01-14 11:30:00,UPS,4.6
100417,2024-01-10 02:17:00,2024-01-20 02:17:00,UPS,3.69
100418,2024-01-10 20:26:00,2024-01-18 20:26:00,USPS,4.0
100419,2024-01-08 19:42:00,2024-01-15 19:42:00,USPS,4.31
100420,2024-01-08 02:46:00,2024-01-16 02:46:00,UPS,11.37
100421,2024-01-13 11:10:00,2024-01-17 11:10:00,UPS,3.08
100422,2024-01-08 10:05:00,2024-01-15 10:05:00,DHL,3.88
100423,2024-01-11 05:02:00,2024-01-16 05:02:00,FedEx,9.52
100424,2024-01-12 11:01:00,2024-01-13 11:01:00,UPS,3.75
100425,2024-01-08 04:30:00,2024-01-16 04:30:00,UPS,14.35
100426,2024-01-13 17:54:00,2024-01-17 17:54:00,UPS,15.72
100427,2024-01-08 07:28:00,2024-01-12 07:28:00,DHL,13.15
100428,2024-01-09 00:14:00,2024-01-13 00:14:00,USPS,5.85
100429,2024-01-13 11:25:00,2024-01-17 11:25:00,USPS,7.18
100430,2024-01-11 23:32:00,2024-01-18 23:32:00,FedEx,15.11
100432,2024-01-11 09:21:00,2024-01-15 09:21:00,UPS,1.16
100433,2024-01-08 16:15:00,2024-01-18 16:15:00,UPS,8.91
100434,2024-01-08 09:35:00,2024-01-18 09:35:00,DHL,10.11
100435,2024-01-10 18:35:00,2024-01-15 18:35:00,DHL,7.9
100436,2024-01-13 23:03:00,2024-01-16 23:03:00,USPS,20.32
100437,2024-01-11 17:17:00,2024-01-13 17:17:00,UPS,21.91
100438,2024-01-10 17:06:00,2024-01-16 17:06:00,DHL,9.86
100439,2024-01-13 17:51:00,2024-01-17 17:51:00,UPS,4.53
100440,2024-01-08 16:54:00,2024-01-13 16:54:00,FedEx,3.91
100441,2024-01-12 23:13:00,2024-01-22 23:13:00,UPS,2.05
